time,open,high,low,close,volume
1503375300,3749,3749,3749,3749,0.054
1503375600,3700,3700,3695.62,3695.62,1.3310359999999999
1503375900,3689,3689,3683.03,3683.03,1.9553449999999999
1503376200,3683.03,3683.03,3655.42,3655.42,3.761003
1503376500,3655.42,3695.59,3655.42,3695.59,0.000651
1503376800,3695.59,3695.59,3695.59,3695.59,0
1503377100,3695.59,3695.59,3655.42,3694,1.030733
1503377400,3694,3694,3617.03,3617.03,5.2184420000000005
1503377700,3617.03,3617.03,3450.98,3500.8,4.5756440000000005
1503378000,3500.8,3500.8,3450.97,3475,1.138717
1503378300,3475,3475,3450.98,3450.98,3.521499
1503378600,3450.98,3451,3450.98,3451,0.206496
1503378900,3451,3599.46,3451,3599.46,1.3052460000000001
1503379200,3599.45,3680.03,3590,3680,1.2421
1503379500,3680,3695.62,3680,3690,1.7158270000000002
1503379800,3680,3680,3680,3680,0.384822
1503380100,3680,3680,3419.99,3662,2.95716
1503380400,3660,3660,3660,3660,0.000959
1503380700,3600,3600,3400,3400,2.020039
1503381000,3400,3400,3400,3400,0
1503381300,3400,3626.99,3400,3626.99,0.006525
1503381600,3626.99,3626.99,3626.99,3626.99,0
1503381900,3626.99,3626.99,3626.99,3626.99,0
1503382200,3626.99,3626.99,3626.99,3626.99,0
1503382500,3626.99,3775,3619.95,3769.98,4.713814
1503382800,3772.48,3800,3769.98,3789.99,7.096996
1503383100,3794.99,3827.22,3789.99,3827.22,5.594424
1503383400,3813.12,3827.22,3789.99,3789.99,8.738159
1503383700,3789.99,3822.23,3789.99,3819.22,5.3898779999999995
1503384000,3819.22,3854.46,3819.22,3839.3,10.704875
1503384300,3835.44,3840.31,3835.44,3835.44,7.25972
1503384600,3835.44,3840.31,3800,3814.2,7.715253
1503384900,3800,3808.18,3780.53,3803,4.88325
1503385200,3803,3803,3769.09,3785.08,8.430988
1503385500,3785,3803,3744.25,3744.25,1.927969
1503385800,3764.15,3802.99,3738.05,3738.05,7.532393
1503386100,3738.06,3763,3733.8,3762.88,3.089133
1503386400,3762.88,3779.77,3733.8,3749.95,4.103059
1503386700,3749.96,3780.06,3733.81,3777.05,4.411639
1503387000,3777.05,3801.18,3746.97,3751.03,11.369393
1503387300,3752,3790.58,3749.04,3790.58,2.271133
1503387600,3764,3803,3763.9,3777.89,4.373926000000001
1503387900,3777.92,3803,3777.89,3790.78,1.9960339999999999
1503388200,3799.86,3803,3749.03,3749.03,9.789271999999999
1503388500,3749.03,3798.75,3749.02,3798.08,2.6647819999999998
1503388800,3798.08,3803,3768.49,3768.49,0.829512
1503389100,3768.49,3803,3768.49,3803,1.8933980000000001
1503389400,3785.78,3803,3780.89,3780.89,3.90489
1503389700,3780.89,3805.76,3751.64,3788.78,3.876473
1503390000,3788.78,3803,3782.78,3782.78,3.2201940000000002
1503390300,3803,3803,3769.88,3790.11,3.45728
1503390600,3790.11,3790.11,3771.44,3773.72,4.024536
1503390900,3773.72,3790.11,3762.05,3790.11,4.547458
1503391200,3790.11,3790.11,3750.08,3767.22,1.2506140000000001
1503391500,3753.94,3783.51,3753.94,3783.51,2.43859
1503391800,3783.51,3789.41,3759.91,3759.91,2.097407
1503392100,3760,3805.76,3760,3794.12,5.327759
1503392400,3794.12,3805.76,3788.88,3795.13,5.22692
1503392700,3792.32,3809.65,3775.01,3809.65,5.033696
1503393000,3809.65,3855.34,3786.81,3855.34,7.605672
1503393300,3856.73,3856.73,3826.12,3853.36,5.318989
1503393600,3853.36,3874.16,3826.12,3839.58,6.375059
1503393900,3857.51,3875.44,3850.88,3869.42,7.72152
1503394200,3869.42,3875.85,3869.42,3875.85,1.214099
1503394500,3875.44,3920.31,3863.69,3920.31,14.965574
1503394800,3920.31,3920.31,3876.76,3876.76,6.546174000000001
1503395100,3876.76,3908.47,3876.76,3885.49,1.621692
1503395400,3885.49,3890.5,3851.55,3890.5,5.534566
1503395700,3890.5,3904.56,3851.54,3904.56,9.008217000000002
1503396000,3904.56,3904.56,3869.28,3901.52,3.0120989999999996
1503396300,3886.26,3886.27,3838.59,3870.26,4.96903
1503396600,3838.6,3870.27,3838.6,3870.27,4.032865
1503396900,3826.14,3873.44,3826.12,3873.44,5.036284000000001
1503397200,3855.73,3901.54,3838.04,3901.53,9.66949
1503397500,3869.07,3894.06,3844.08,3893.92,4.7595089999999995
1503397800,3893.92,3894.07,3860.29,3864.49,7.4822500000000005
1503398100,3864.49,3904.51,3864.49,3904.51,8.602905999999999
1503398400,3904.51,3904.51,3861.14,3861.14,6.989846
1503398700,3861.14,3885.49,3861.14,3885.49,2.022987
1503399000,3885.49,3885.49,3850.32,3850.32,1.084646
1503399300,3850.32,3850.32,3844.08,3844.08,1.660269
1503399600,3844.07,3885.48,3841.18,3855.01,8.82584
1503399900,3855.01,3890.5,3855.01,3872.45,10.395285000000001
1503400200,3872.45,3881.48,3872.45,3872.45,5.730451
1503400500,3872.45,3890.32,3844.24,3853.54,4.098401
1503400800,3853.54,3893.51,3853.54,3893.51,1.992742
1503401100,3853.54,3893.52,3853.54,3893.52,1.4125580000000002
1503401400,3853.53,3905.54,3853.53,3875.44,2.724541
1503401700,3875.44,3905.55,3869.41,3871.78,4.7807770000000005
1503402000,3871.78,3905.56,3867.19,3867.19,2.017933
1503402300,3905.54,3905.54,3867.19,3867.2,3.774722
1503402600,3867.2,3893.22,3853.54,3853.57,1.6733850000000001
1503402900,3853.57,3866.48,3853.56,3866.48,1.942131
1503403200,3866.48,3893.19,3865.48,3865.55,3.5420510000000003
1503403500,3865.55,3893.18,3865.48,3865.55,5.583074
1503403800,3871.89,3905.45,3853.54,3869.47,7.5641370000000006
1503404100,3869.47,3874.44,3853.53,3874.44,7.689939
1503404400,3874.44,3903,3857.1,3874.55,6.283727999999999
1503404700,3889.38,3920.31,3889.38,3920.31,6.733433
1503405000,3934.49,3934.49,3904.32,3923.25,5.767256
1503405300,3904.32,3927.23,3904.32,3927.23,4.893027
1503405600,3954.41,3954.41,3924.85,3934.21,4.3030170000000005
1503405900,3955.2,3959.93,3934.21,3959.93,8.199956
1503406200,3927,3934.75,3907.63,3907.63,7.058647000000001
1503406500,3949,3990.12,3922.2,3934.01,8.169319
1503406800,3949.01,3964.75,3922.19,3922.19,6.314446
1503407100,3939.39,3939.39,3922.19,3922.19,1.1986549999999998
1503407400,3922.19,3951.98,3907.62,3907.62,4.687849999999999
1503407700,3920.26,3920.26,3907.62,3907.62,4.091982000000001
1503408000,3907.62,3907.62,3904.32,3904.32,0.8017770000000001
1503408300,3904.32,3907.62,3889.38,3889.38,2.427227
1503408600,3889.38,3918.88,3874.35,3890.27,3.664263
1503408900,3891.01,3925.99,3891.01,3925.99,1.690671
1503409200,3925.99,3925.99,3890.27,3890.27,2.5454790000000003
1503409500,3901.3,3901.31,3890.26,3890.26,2.3606260000000003
1503409800,3887.85,3904.42,3874.38,3874.38,4.683762
1503410100,3874.38,3921,3874.38,3920.99,4.157133
1503410400,3874.38,3920.99,3874.35,3904.98,3.8353850000000005
